Gene_acc,Gene_id,BSF1,BSF2,PCF1,PCF2,Desc
0,Tb427_000368900,0,0,29,23,Trypanosome variant surface glycoprotein (A-type)  putative
1,Tb427_000524400,2,0,51,55,Trypanosome variant surface glycoprotein (A-type)  putative
2,Tb427_000288700,1,0,28,25,hypothetical protein  conserved
3,Tb427_000237100,2,2,24,22,hypothetical protein  conserved
4,Tb427_100109300,322,284,118066,99227,Procyclic acidic repetitive protein (PARP)  putative
5,Tb427_000173300,3,3,32,26,hypothetical protein
6,Tb427_020029800,2,2,101,77,unspecified product
7,Tb427_000729500,2,2,75,57,hypothetical protein  conserved
8,Tb427_070075600,1,1,38,26,hypothetical protein  conserved
9,Tb427_000615900,3,4,80,113,Trypanosome variant surface glycoprotein (A-type)  putative
10,Tb427_060008300,628,705,419920,420132,Procyclic acidic repetitive protein (PARP)  putative
11,Tb427_100109200,81,98,18082,15025,Procyclic acidic repetitive protein (PARP)  putative
12,Tb427_000288600,2,3,47,64,Trypanosome variant surface glycoprotein (A-type)  putative
13,Tb427_100077600,14,7,432,271,Trypanosome variant surface glycoprotein (A-type)  putative
14,Tb427_000747200,2,2,44,37,hypothetical protein  conserved
15,Tb427_080064600,9,1,90,83,hypothetical protein  conserved
16,Tb427_000144700,2,3,48,44,unspecified product
17,Tb427_000667800,2,3,40,34,hypothetical protein  conserved
18,Tb427_000018600,6,1,45,31,BT1 family  putative
19,Tb427_080032800,20,23,802,274,unspecified product
20,Tb427_040040300,11,6,23,13,hypothetical protein  conserved
21,Tb427_100109100,43,59,2419,1553,Trypanosome variant surface glycoprotein (A-type)  putative
22,Tb427_000073700,25,8,170,129,hypothetical protein  conserved
23,Tb427_000173400,17,7,234,114,unspecified product
24,Tb427_080005200,84,49,1129,1115,hypothetical protein  conserved
25,Tb427_000160700,48,23,1040,415,unspecified product
26,Tb427_000561300,53,47,1478,536,unspecified product
27,Tb427_000369100,3,3,22,22,Trypanosome variant surface glycoprotein (A-type)/Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative
28,Tb427_000753500,9,5,36,44,hypothetical protein  conserved
29,Tb427_000831000,6,8,56,40,hypothetical protein  conserved
30,Tb427_100109000,64,50,1947,1110,Trypanosome variant surface glycoprotein (A-type)  putative
31,Tb427_000593600,4,8,19,24,hypothetical protein
32,Tb427_110037200,3,2,32,18,hypothetical protein
33,Tb427_080005000,37,16,421,366,PAP2 superfamily  putative
34,Tb427_100083200,2,3,30,23,hypothetical protein  conserved
35,Tb427_040035300,8,10,50,33,Trypanosomal VSG domain containing protein  putative
36,Tb427_000007100,10,6,61,48,BT1 family  putative
37,Tb427_000602200,7,10,65,38,unspecified product
38,Tb427_000561200,7,4,105,38,unspecified product
39,Tb427_000627000,12,14,91,119,Trypanosome variant surface glycoprotein (A-type)  putative
40,Tb427_000054900,34,28,636,277,unspecified product
41,Tb427_070085800,31,20,133,168,RNA polymerase Rpb2  domain 4  putative
42,Tb427_000524500,51,33,577,814,Trypanosomal VSG domain/Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative
43,Tb427_080029900,7,5,104,75,unspecified product
44,Tb427_000649500,8,10,12,23,Retrotransposon hot spot protein  putative
45,Tb427_000074200,61,53,1235,616,unspecified product
46,Tb427_000731200,3,3,28,20,hypothetical protein  conserved
47,Tb427_080030000,6,4,138,102,unspecified product
48,Tb427_060008400,379,417,30854,25611,Procyclic acidic repetitive protein (PARP)  putative
49,Tb427_100077700,2,5,29,14,hypothetical protein  conserved
50,Tb427_070075400,46,27,296,242,hypothetical protein  conserved
51,Tb427_000770400,10,13,45,38,hypothetical protein  conserved
